sequence,label
Alanine-Alanine-Valine-Alanine-Leucine-Leucine-Proline-Alanine-Valine-Leucine-Leucine-Alanine-Leucine-Leucine-Alanine-Lysine,2.207688213
Alanine-Alanine-Valine-Alanine-Leucine-Leucine-Proline-Alanine-Valine-Leucine-Leucine-Alanine-Leucine-Leucine-Alanine-Proline,2.12027772
Alanine-Alanine-Valine-Alanine-Leucine-Leucine-Proline-Alanine-Valine-Leucine-Leucine-Alanine-Leucine-Leucine-Alanine-Proline-Arginine-Arginine-Arginine-Arginine-Arginine-Arginine,2.033061693
Alanine-Glycine-Tyrosine-Leucine-Leucine-Glycine-Lysine-Isoleucine-Asparagine-Leucine-Lysine-Alanine-Leucine-Alanine-Alanine-Leucine-Alanine-Lysine-Lysine-Isoleucine-Leucine,2.414689293
Alanine-Isoleucine-Isoleucine-Tyrosine-Arginine-Aspartic acid-Leucine-Isoleucine-Serine,0.515873844
Alanine-Isoleucine-Proline-Asparagine-Asparagine-Glutamine-Leucine-Glycine-Phenylalanine-Proline-Phenylalanine-Lysine,0.71432976
Alanine-Leucine-Tryptophan-Lysine-Threonine-Leucine-Leucine-Lysine-Lysine-Valine-Leucine-Lysine-Alanine,1.870579461
Alanine-Leucine-Tryptophan-Lysine-Threonine-Leucine-Leucine-Lysine-Lysine-Valine-Leucine-Lysine-Alanine-Proline-Lysine-Lysine-Lysine-Arginine-Lysine-Valine,2.157970244
Alanine-Proline-Tryptophan-Histidine-Leucine-Serine-Serine-Glutamine-Tyrosine-Serine-Arginine-Threonine,0.674861141
Alanine-Glutamine-Isoleucine-Lysine-Isoleucine-Tryptophan-Phenylalanine-Glutamine-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine,2.146809963
Alanine-Arginine-Alanine-Alanine-Alanine-Arginine-Glutamine-Alanine-Arginine-Alanine,0.201397124
Alanine-Serine-Methionine-Tryptophan-Glutamic acid-Arginine-Valine-Lysine-Serine-Isoleucine-Isoleucine-Lysine-Serine-Serine-Leucine-Alanine-Alanine-Alanine-Serine-Asparagine-Isoleucine,1.434089638
Alanine-Valine-Proline-Alanine-Glutamic acid-Asparagine-Alanine-Leucine-Asparagine-Asparagine-Proline-Phenylalanine,1.197280558
Alanine-Tyrosine-Arginine-Isoleucine-Lysine-Proline-Threonine-Phenylalanine-Arginine-Arginine-Leucine-Lysine-Tryptophan-Lysine-Tyrosine-Lysine-Glycine-Lysine-Phenylalanine-Tryptophan,2.223651667
Cysteine-Glycine-Alanine-Tyrosine-Aspartic acid-Leucine-Arginine-Arginine-Arginine-Glutamic acid-Arginine-Glutamine-Serine-Arginine-Leucine-Arginine-Arginine-Arginine-Glutamic acid-Arginine-Glutamine-Serine-Arginine,1.695131298
Cysteine-Glycine-Asparagine-Lysine-Arginine-Threonine-Arginine-Glycine-Cysteine,1.076276255
Cysteine-Isoleucine-Isoleucine-Serine-Arginine-Aspartic acid-Leucine-Isoleucine-Serine-Histidine,1.112269768
Cysteine-Arginine-Glutamine-Isoleucine-Lysine-Isoleucine-Tryptophan-Phenylalanine-Proline-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine-Cysteine,1.946353997
Cysteine-Arginine-Glutamine-Isoleucine-Lysine-Isoleucine-Tryptophan-Phenylalanine-Glutamine-Asparagine-Arginine-Arginine-Methionine-Lysine-Tryptophan-Lysine-Lysine,2.027553454
Cysteine-Serine-Isoleucine-Proline-Proline-Glutamic acid-Valine-Lysine-Phenylalanine-Asparagine-Proline-Phenylalanine-Valine-Tyrosine-Leucine-Isoleucine,1.926136571
Cysteine-Valine-Lysine-Arginine-Glycine-Leucine-Lysine-Leucine-Arginine-Histidine-Valine-Arginine-Proline-Arginine-Valine-Threonine-Arginine-Aspartic acid-Valine,1.931762888
